"RegionID","RegionName","SizeRank","1979-03","1979-06","1979-09","1979-12","1980-03","1980-06","1980-09","1980-12","1981-03","1981-06","1981-09","1981-12","1982-03","1982-06","1982-09","1982-12","1983-03","1983-06","1983-09","1983-12","1984-03","1984-06","1984-09","1984-12","1985-03","1985-06","1985-09","1985-12","1986-03","1986-06","1986-09","1986-12","1987-03","1987-06","1987-09","1987-12","1988-03","1988-06","1988-09","1988-12","1989-03","1989-06","1989-09","1989-12","1990-03","1990-06","1990-09","1990-12","1991-03","1991-06","1991-09","1991-12","1992-03","1992-06","1992-09","1992-12","1993-03","1993-06","1993-09","1993-12","1994-03","1994-06","1994-09","1994-12","1995-03","1995-06","1995-09","1995-12","1996-03","1996-06","1996-09","1996-12","1997-03","1997-06","1997-09","1997-12","1998-03","1998-06","1998-09","1998-12","1999-03","1999-06","1999-09","1999-12","2000-03","2000-06","2000-09","2000-12","2001-03","2001-06","2001-09","2001-12","2002-03","2002-06","2002-09","2002-12","2003-03","2003-06","2003-09","2003-12","2004-03","2004-06","2004-09","2004-12","2005-03","2005-06","2005-09","2005-12","2006-03","2006-06","2006-09","2006-12","2007-03","2007-06","2007-09","2007-12","2008-03","2008-06","2008-09","2008-12","2009-03","2009-06","2009-09","2009-12","2010-03","2010-06","2010-09","2010-12","2011-03","2011-06","2011-09","2011-12","2012-03","2012-06","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12","2018-03","2018-06","2018-09","2018-12"
395102,"Sioux City, IA",240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31217.7653108929,33748.2000935016,33680.1776531089,34296.9144460028,33571.3417484806,33843.4315100514,35013.417484806,35190.275829827,35185.7410004675,37543.8522674147,36904.4413277232,37258.1580177653,38759.1865357644,38391.8653576438,39747.7793361384,40010.7994389902,41153.5764375877,41620.6638616176,43044.6002805049,43434.5956054231,44559.2332865825,44019.5885928004,45348.2935951379,45692.940626461,46862.9266012155,47792.5666199159,48500,49400,50900,52100,52700,52800,53600,56000,59400,61700,62800,63100,64000,65400,66300,66800,67300,68400,69200,69600,70100,71000,71700,72000,72100,72700,74400,76300,77000,78300,80400,82200,83600,84000,83600,84700,87200,86300,84500,83900,84000,85500,86900,87200,87900,89700,92000,93800,94700,94100,92800,91400,90000,88700,89100,90000,90700,92800,93000,91700,90400,89500,89600,90300,90800,90700,91400,93700,95000,95000,96000,96900,97500,100500,101300,102300,104500,107500,110300,109500,111300,111700,112000,114400,115700,116000,117900,118400,122400,126200,129100,132700
394651,"Greenville, NC",241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395210,"Waterloo, IA",242,,,,,,,,,,,,,,,,,,,38450.6229388054,44043.4408208135,39109.1975082448,38237.8526932943,,,31819.2836203738,36611.6801026017,36100.0183217296,33835.5349945035,36773.7907658483,33075.641260535,34661.2861854159,33941.9201172591,35036.1670941737,34468.7797728106,32523.4518138512,30968.2026383291,31910.47086845,33227.6200073287,35552.8948332723,34256.0095272994,34585.2968120191,37118.2759252473,38192.2590692561,39489.144375229,39818.4316599487,40644.1828508611,41490.1978746794,41753.6277024551,43937.0556980579,43491.2513741297,43106.238548919,44423.3876877977,45031.3026749725,45026.2367167461,45725.3389519971,46834.7838035911,47569.3477464273,47706.1286185416,48319.1095639428,49043.5415903261,49605.8629534628,49990.8757786735,51080.0567973617,50051.667277391,50659.5822645658,51996.9952363503,53526.9146207402,53992.9827775742,55300,55500,56700,58300,59600,60500,61800,64000,65700,66800,68200,70000,71400,71600,71100,70900,71900,73400,75100,77100,79100,79500,79300,79000,79200,81100,87200,97900,111100,122200,120100,108500,98500,92400,90700,91800,91500,93800,98200,101700,103500,103300,103100,104100,105100,104800,104700,105000,105600,105600,106100,106800,107900,108800,109100,108900,109100,110200,109600,108700,108000,108000,108500,109200,112800,113600,113400,114200,113400,115000,116700,117200,117600,118800,120800,122700,122800,123300,122900,119300,119500,121100,121500,121600,122700,123700,125600,133900,132600,128900,129500,130000
394944,"Oshkosh, WI",243,,,,,,,,,,,,,,,,,,,,,,,,,,,72363.3285782216,71609.1012838802,71853.4284355682,74838.4688540181,75380.2377555872,73659.3247741322,75624.5649072753,75337.7460770328,75858.2691393248,80681.0746552544,77812.8863528293,79395.7013789824,78822.0637184974,80999.7622444127,82401.9876367094,81647.760342368,79894.9786019971,82561.3314312886,83283.6899667142,84271.6214931051,84197.2610556348,85525.1260104612,85939.4198763671,87766.5620542083,89211.2791250594,89753.0480266286,90241.7023300047,91633.3048026629,92451.2696148359,93524.1844983357,94055.3304802663,95765.6205420827,97518.4022824536,98485.0879695673,100981.474084641,103361.00808369,105092.543984784,105751.165002378,106229.196386115,108491.878269139,109787.87446505,110967.018544936,111700,109400,106000,103900,103900,104600,105000,104800,104000,103300,103900,105800,108200,110200,112400,114900,117900,119700,120900,122000,123600,125000,126300,128500,132100,136000,139500,142900,144800,145000,143000,140500,139700,139600,140500,140100,136200,136900,139600,141600,142400,141100,139600,138300,139500,142300,144800,147300,148000,146500,144500,143200,143300,143600,142400,142300,143500,146000,146400,144600,142800,133700,130900,131600,134400,139400,141500,144200,141000,141000,143500,143400,143600,145600,148400,149900,151100,153900,153100,153900,156500,157000,159000,160700,163900,167200,168100,169800,174100,177700,181800,183200
395246,"Yuba City, CA",244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93966.0195131566,93580.4769882724,94697.2208534542,95242.2982162215,96465.3986399921,101184.970927368,99137.6071745343,98858.4212082389,97063.6542820538,103338.69123879,109985.976150586,113934.463388194,117816.477776683,123838.91790677,131935.310929339,134541.046614763,135950.271016064,137957.751059426,137372.789987188,139008.02207549,139513.215728787,138595.890410959,140470.424756086,138383.177293781,138635.77412043,138609.184980783,138050.813048192,138117.28589731,136561.821227949,134142.209520055,131204.109589041,132360.737163694,132945.698235932,135179.185966295,134155.504089879,133756.666995171,134900,135000,134000,129800,123300,118300,118400,122900,127400,127200,123600,120100,118800,119500,121400,122700,122600,123400,125500,127300,126800,126700,129900,135100,141700,148300,154100,162700,172700,183000,191300,197700,206600,219800,236200,255800,278600,298600,309200,311600,308700,304700,296300,286800,276400,267600,257000,243700,228000,206100,193600,185900,178000,170700,165800,162000,160500,161500,155900,151600,147300,145200,146400,143500,140600,139700,142800,148600,163600,170000,181300,190100,191800,200400,198500,199500,203000,207100,209300,215700,218700,224800,233000,240800,246500,253600,259400,263600,270300,275300,277000,279300
394299,"Abilene, TX",245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52771.6991963261,55107.1182548795,54454.7359357061,51499.8277841562,49745.5223880597,44740.269804822,48671.0103329506,45315.9012629162,46176.607347876,47623.9092996556,43824.7416762342,46094.374282434,41259.0700344432,44011.1366245695,43945.3501722158,43567.0780711826,44740.269804822,45283.0080367394,47662.2847301952,47958.3237657865,45321.383467279,49888.0597014925,49246.6417910448,49794.8622273249,50310.1894374282,51225.7175660161,53128.0424799082,52766.2169919633,54164.1791044776,53884.5866819748,54575.3444316877,54109.3570608496,53029.3628013777,54822.0436280138,55726.607347876,54827.5258323766,55562.141216992,57300,57100,57100,57100,57300,57500,58000,59200,61000,62100,62500,62700,62900,63600,64600,65300,65500,65500,65500,65500,65300,65300,65400,65600,66000,66900,67800,68800,69300,68900,69300,70100,71300,73000,73900,75100,76900,78200,79300,80000,81200,83700,86300,88500,89500,89200,89100,89100,88700,87600,86700,85400,83900,82400,81200,81300,81800,84100,85000,85700,85000,83200,81900,81100,81600,82100,82800,83300,84700,85400,85700,85600,86000,87300,88800,90000,90600,92500,93900,96000,97900,101000,105800,109900,113600,115400,116900,118500,120100,121500,122600,124400
394485,"Columbia, MO",246,,,,,,,,,,,,,,,,,,,,,,,,,,,,71136.3823731475,72762.1356364707,72171.8323682403,73536.3038571008,74029.8360977525,73449.2099322799,74174.9926391206,73555.6580626166,75239.473942487,71552.4977917362,76178.152910001,74997.5463735401,75191.0884286976,76478.1430954952,75336.2449700658,76265.2468348219,76303.9552458534,77949.0627146923,77339.4052409461,77736.166454019,76981.3524389047,78665.1683187752,79042.5753263323,79603.8472862892,80552.203356561,80213.5047600353,81423.1426047698,81297.3402689175,81916.6748454215,82032.800078516,82758.5827853568,83774.6785749337,84326.2734321327,87684.2280891157,91893.7677887918,94284.0121699873,95842.0257140053,96771.0275787614,97438.7476690549,97961.3112179802,98977.4070075572,98600,98600,99600,101700,104600,107200,109300,111000,112900,115000,116900,118600,120300,122200,124300,126300,127900,128700,129300,129800,130000,128600,125000,122900,123500,125000,125800,126400,127600,128700,130300,132500,134800,137600,140100,140600,138300,138700,141200,143100,144000,143500,142900,143000,144100,144500,144400,144700,144500,143000,142800,142800,143500,143900,145400,146200,146700,148100,147000,146100,144600,145300,145400,146400,146700,146000,145600,145100,148800,148600,148700,149000,147800,149100,151600,152700,152800,154600,155900,157800,158200,157700,158300,161600,163700,165400,167300,166700,171800,176600,177100,177800
394539,"Dover, DE",247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76306.1628093431,75825.6454112994,76729.0181196216,81178.6092255064,82870.0304666203,82946.9132503073,80150.3019936929,86973.6490459137,89241.6911646801,88501.6943716928,89097.535945267,93220.3752204821,91884.5368539206,91634.6678069378,95267.3793361484,94940.6275054787,93460.633919504,96920.3591854188,97218.2799722059,95574.9104708964,97275.9420599711,98285.028595863,97343.2144956973,99726.5807899941,100110.994708429,99678.5290501897,99861.1256614464,99265.2840878721,97535.4214549147,95872.8312576835,96103.4796087445,100005.280880859,99361.3875674809,99659.308354268,100822.160457534,99361.3875674809,100283.980971725,102475.140306804,103032.540488535,104108.899460153,101956.181516917,105002.661820514,106780.576193276,105012.272168475,106184.734619702,106867.069324924,108164.466299642,106501.876102411,107318.755679085,108962.125180394,107097.717675985,109192.773531455,109375.370142712,110999.5189481,113488.599069966,116121.834411246,116708.065636859,118870.393928056,120129.349510931,122483.884761345,123790.892084024,125530.365064942,127212.175958095,127971.393447004,129903.07338714,134986.947458442,138216.024373296,140676.27345128,150546.100807098,156139.323320327,161203.976695708,171602.373189374,177166.76465872,181472.200545192,184566.732588594,190775.017371319,195214.998129243,199693.42027901,202874.44545406,200452.637767919,201336.78978032,199481.992623871,200990.817253728,196502.784756,191274.755465284,189439.179004757,191255.534769362,185614.260516329,179800,178100,194200,205600,181000,175100,181900,184500,169800,164900,165100,167400,165400,164900,166500,164400,164200,164900,167400,173200,175000,177900,179700,179600,178700,178400,180500,184100,186700,188400,189200,190700,192100,194600,199500,202800,207400,210900
394555,"Eau Claire, WI",248,,,,,,,,,,,,,,,,,,,59897.2290292177,64577.0028275212,59955.3628652215,63772.8180961357,61602.4882186616,62629.5193213949,62765.164938737,62212.8934967012,62600.452403393,63908.4637134778,65497.4552309142,64848.2940622055,65468.3883129123,64412.2902921772,66059.4156456174,66456.6635249765,65952.8369462771,66815.1555136664,72735.1178133836,68772.3279924599,70254.7408105561,68995.1743638077,72047.2007540057,70051.2723845429,73452.1017907634,73326.1451460886,74130.3298774741,74517.8887841659,75864.6559849199,74798.8689915174,75041.0933081998,76659.1517436381,77192.0452403393,77647.4269557022,79294.5523091423,79304.2412818096,81232.3468426013,81988.0867106503,82734.137606032,83984.0150801131,86057.4552309142,86406.2582469369,89477.6625824694,92675.0235626767,95775.4948162111,96037.0970782281,96889.7266729501,98410.8953817154,101627.634307257,103933.609802074,102800,100600,97500,95600,95100,93900,92000,90800,90700,90700,91300,92400,94000,95000,95900,97300,99200,100600,102200,105100,108700,111200,112200,113000,114700,114600,113900,114700,116100,114700,112000,111600,113800,117200,122100,121900,113200,115800,122600,125200,126500,125400,123700,124300,127000,127300,126400,126400,126500,124500,122700,122300,122800,122200,120600,120100,119900,120500,120000,118900,116900,116000,115600,114800,116900,116900,116700,117700,118800,119600,120400,121400,122000,124500,126800,126700,127900,128400,129900,132600,134700,136200,137600,141100,142100,143900,147900,148900,152200,156400,158500,162900
394720,"Janesville, WI",249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
